唯一编号,种类编号,种类,级别,名称,队伍攻击,队伍防御,对手攻击,对手防御,出手优先级,连击概率,队伍魔法杀伤,队伍魔法抗性,回复,生效回合(可多选),描述
Id,TypeId,Type,Rank,Name,TeamAttack,TeamDefence,EnemyAttack,EnemyDefence,Priority,ComboChance,MagicPenetration,MagicResistance,Heal,Round,Description
1,1,鼓舞,D,训练有素,1,1,0,0,0,0,0,0,0,0,【鼓舞】队伍攻击+1 防御+1
2,1,鼓舞,C,正规编制,3,3,0,0,0,0,0,0,0,0,【鼓舞】队伍攻击+3 防御+3
3,1,鼓舞,B,编队改制,5,5,0,0,0,0,0,0,0,0,【鼓舞】队伍攻击+5 防御+5
4,1,鼓舞,A,完全整合,7,7,0,0,0,0,0,0,0,0,【鼓舞】队伍攻击+7 防御+7
5,1,鼓舞,S,精锐化,9,9,0,0,0,0,0,0,0,0,【鼓舞】队伍攻击+9 防御+9
6,2,震慑,D,疑兵战术,0,0,-2,-2,0,0,0,0,0,0,【震慑】对手攻击-2 防御-2
7,2,震慑,C,扰敌战术,0,0,-4,-4,0,0,0,0,0,0,【震慑】对手攻击-4 防御-4
8,2,震慑,B,奇袭战术,0,0,-6,-6,0,0,0,0,0,0,【震慑】对手攻击-6 防御-6
9,2,震慑,A,断援战术,0,0,-8,-8,0,0,0,0,0,0,【震慑】对手攻击-8 防御-8
10,2,震慑,S,十面埋伏,0,0,-11,-11,0,0,0,0,0,0,【震慑】对手攻击-11 防御-11
11,3,指挥,D,防守号令,0,3,0,0,0,0,0,0,0,"1,2,3",【指挥】第1/2/3回合队伍防御值+3
12,3,指挥,D,突击号令,3,0,0,0,0,0,0,0,0,"1,2,3",【指挥】第1/2/3回合队伍攻击值+3
13,3,指挥,C,列阵号令,0,5,0,0,0,0,0,0,0,"1,2,3",【指挥】第1/2/3回合队伍防御值+5
14,3,指挥,B,炙热号令,7,0,0,0,0,0,0,0,0,"1,2,3",【指挥】第1/2/3回合队伍攻击值+7
15,3,指挥,A,不动如山,0,10,0,0,0,0,0,0,0,"1,2,3",【指挥】第1/2/3回合队伍防御值+10
16,3,指挥,A,侵略如火,10,0,0,0,0,0,0,0,0,"1,2,3",【指挥】第1/2/3回合队伍攻击值+10
17,3,指挥,S,皇女决断,14,14,0,0,0,0,0,0,0,"1,2,3",【指挥】第1/2/3回合队伍防御值+14
18,4,先机,C,标准斥候,0,0,0,0,1,0,0,0,0,0,【先机】出手优先级1
19,4,先机,B,迅疾斥候,0,0,0,0,2,0,0,0,0,0,【先机】出手优先级2
20,4,先机,A,精英斥候,0,0,0,0,3,0,0,0,0,0,【先机】出手优先级3
21,4,先机,S,先发制人,0,0,0,0,4,0,0,0,0,0,【先机】出手优先级4
22,5,连击,D,初级疾战,0,0,0,0,0,15,0,0,0,0,【连击】15%连击概率
23,5,连击,C,中级疾战,0,0,0,0,0,20,0,0,0,0,【连击】20%连击概率
24,5,连击,B,高级疾战,0,0,0,0,0,30,0,0,0,0,【连击】30%连击概率
25,5,连击,A,掎角之势,0,0,0,0,0,50,0,0,0,0,【连击】50%连击概率
26,5,连击,S,双剑技,0,0,0,0,0,100,0,0,0,0,【连击】必定连击
27,6,魔伤,D,劣法魔箭,0,0,0,0,0,0,20,0,0,0,【魔伤】为队伍提供20点魔法杀伤
28,6,魔伤,C,标准魔箭,0,0,0,0,0,0,40,0,0,0,【魔伤】为队伍提供40点魔法杀伤
29,6,魔伤,B,高级魔箭,0,0,0,0,0,0,60,0,0,0,【魔伤】为队伍提供60点魔法杀伤
30,6,魔伤,A,魔箭暴雨,0,0,0,0,0,0,110,0,0,0,【魔伤】为队伍提供110点魔法杀伤
31,6,魔伤,S,超魔爆弹,0,0,0,0,0,0,260,0,0,0,【魔伤】为队伍提供260点魔法杀伤
32,7,魔抗,D,初级魔抗,0,0,0,0,0,0,0,15,0,0,【魔抗】为队伍提供15点魔法抗性
33,7,魔抗,C,中级魔抗,0,0,0,0,0,0,0,30,0,0,【魔抗】为队伍提供30点魔法抗性
34,7,魔抗,B,高级魔抗,0,0,0,0,0,0,0,40,0,0,【魔抗】为队伍提供40点魔法抗性
35,7,魔抗,A,魔力排斥,0,0,0,0,0,0,0,80,0,0,【魔抗】为队伍提供80点魔法抗性
36,7,魔抗,S,天帷圣盾,0,4,0,0,0,0,0,220,0,0,【魔抗】提供大量魔抗和防御
37,8,回复,D,初级回复,0,0,0,0,0,0,0,0,8,0,【回复】为队伍回复8%已损失兵员
38,8,回复,C,中级回复,0,0,0,0,0,0,0,0,10,0,【回复】为队伍回复10%已损失兵员
39,8,回复,B,高级回复,0,0,0,0,0,0,0,0,15,0,【回复】为队伍回复15%已损失兵员
40,8,回复,A,神圣挥洒,0,0,0,0,0,0,0,0,20,0,【回复】为队伍回复20%已损失兵员
41,8,回复,S,不死结界,0,0,0,0,0,0,0,0,30,0,【回复】为队伍回复30%已损失兵员
