唯一编号,增减类型,金币下限,金币上限,食物下限,食物上限,兵员下限,兵员上限,触发权重,文字描述
Id,Type,MinMoney,MaxMoney,MinFood,MaxFood,MinPopulation,MaxPopulation,Weight,Text
1,0,0,0,0,0,0,0,0,这段时间我们的领地收获
2,1,1,2,0,0,0,0,10,我们的冒险队捕获一只宝箱怪！
3,1,1,2,0,0,0,0,10,不知为什么，南方的特产价格飙涨，我们因此赚了一笔！
4,1,1,2,0,0,0,0,10,一支亚人商队想要与我们开启贸易往来，为此特意送来一些财宝！
5,1,2,4,0,0,0,0,7,我们的冒险队随着幼龙足迹，意外发现了金矿！
6,1,3,5,0,0,0,0,7,我们的冒险队在深山发现一座古老地宫，这也许是前文明的遗迹，但其中的财宝已经所剩无几！
7,2,2,2,0,0,0,0,5,我们贸易点中的一位雇员违背了契约，带着一笔钱逃向了王国…
8,2,2,2,0,0,0,0,5,不知名的山贼竟敢劫掠我们的商队，虽然及时剿灭，但我们的贸易点还是受到了损失…
9,1,0,0,400,450,0,0,10,一场恰到好处的大雨令几处饱受干旱的偏远村庄重获新生！
10,1,0,0,400,450,0,0,10,我们的冒险队在深山发现一颗参天大菇，也许是大自然的奇迹？
11,1,0,0,420,470,0,0,10,古怪的魔道学者路过我们的领地，留下一些难以名状的种子，产量意外的好？
12,1,0,0,500,600,0,0,7,神秘的丰饶之息拂过田野，各处村镇收获在望！
13,1,0,0,500,600,0,0,7,传闻彩虹是风之龙王飞翔而过的证明，万物复苏的预兆！
14,2,0,0,350,400,0,0,5,一场蝗灾给我们的领地造成了巨大麻烦…为什么异世界也有蝗虫？
15,2,0,0,350,400,0,0,5,一场洪涝灾害令我们部分领地颗粒无收，但至少人还在…
16,1,0,0,0,0,150,200,10,我们的领地中出现一支没有归属的佣兵战斗团，他们表示很原意为了女神，以及我们给出的酬金而效力！
17,1,0,0,0,0,150,200,10,没有收成的季节，许多年轻人会选择从戎！
18,1,0,0,0,0,160,220,10,一批在王国受到迫害的信徒找到了我们，表示愿意为女神复兴的大业而战！
19,1,0,0,0,0,240,350,7,一位不满王国腐败统治的领主带领他的士兵加入了我们！
20,1,0,0,0,0,240,350,7,我们的冒险队在荒山中发现一些无名部族的猎人，他们十分善战！
21,2,0,0,0,0,100,160,5,一种传染病在我们的领地流行，由于防治工作的失败，许多人都病倒了…
22,2,0,0,0,0,100,160,5,我们的预备兵员疏于管理，斗殴事件层出不穷，没人会想要加入这样的队伍…
23,1,0,0,0,0,0,0,10,这段时间十分平静，没有什么能引起我们注意的大事…
1001,0,0,0,0,0,0,0,0,【局部胜利】\n敌人被我们的优秀战术打得溃不成军\n但仍有成建制的守备力量控制该区域\n{1} 剩余 {2}（{3}） 守备力\n本次作战我方失去 {4} 位勇敢的战士
1002,0,0,0,0,0,0,0,0,【区域压制】\n该区域的敌军守备力已被完全排除\n我方将接手区域控制权\n{1} 剩余 {2}（{3}） 点守备力\n本次作战我方失去 {4} 位勇敢的战士
1003,0,0,0,0,0,0,0,0,【弃甲曳兵】\n这次鲁莽的作战行动显然欠缺准备\n我们必须思考更加周全的计划\n本次作战我方失去 {1} 位勇敢的战士
